timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1683455558898,7,Get All Invoice,200,,Invoice 1-1,text,true,,2266,198,1,1,http://localhost:9090/invoice/getAll,7,0,0
1683455558905,11,Update Invoice Status,200,,Invoice 1-1,text,true,,709,628,1,1,http://localhost:9090/invoice/updateStatus,11,0,0
1683455558917,3,Get all by username,200,,Invoice 1-1,text,true,,693,228,1,1,http://localhost:9090/invoice/getAllByUsername?username=HD11300001,3,0,0
1683455558920,6,get by status,200,,Invoice 1-1,text,true,,2266,217,1,1,http://localhost:9090/invoice/getByStatus?status=UNPAID,6,0,0
1683455558926,6,get by id,200,,Invoice 1-1,text,true,,691,223,1,1,http://localhost:9090/invoice/getById?id=1,6,0,0
1683455558998,6,Get All Invoice,200,,Invoice 1-2,text,true,,2266,198,1,1,http://localhost:9090/invoice/getAll,6,0,1
1683455559007,6,Update Invoice Status,200,,Invoice 1-2,text,true,,709,604,1,1,http://localhost:9090/invoice/updateStatus,6,0,0
1683455559013,4,Get all by username,200,,Invoice 1-2,text,true,,693,228,1,1,http://localhost:9090/invoice/getAllByUsername?username=HD11300001,4,0,0
1683455559017,3,get by status,200,,Invoice 1-2,text,true,,2266,217,1,1,http://localhost:9090/invoice/getByStatus?status=UNPAID,3,0,0
1683455559020,3,get by id,200,,Invoice 1-2,text,true,,691,223,1,1,http://localhost:9090/invoice/getById?id=1,3,0,0
1683455559099,6,Get All Invoice,200,,Invoice 1-3,text,true,,2266,198,1,2,http://localhost:9090/invoice/getAll,6,0,0
1683455559106,9,Update Invoice Status,200,,Invoice 1-3,text,true,,709,592,1,2,http://localhost:9090/invoice/updateStatus,9,0,0
1683455559116,3,Get all by username,200,,Invoice 1-3,text,true,,693,228,1,2,http://localhost:9090/invoice/getAllByUsername?username=HD11300001,3,0,0
1683455559119,4,get by status,200,,Invoice 1-3,text,true,,2266,217,1,2,http://localhost:9090/invoice/getByStatus?status=UNPAID,4,0,0
1683455559123,6,get by id,200,,Invoice 1-3,text,true,,691,223,1,2,http://localhost:9090/invoice/getById?id=1,6,0,0
1683455559198,10,Get All Invoice,200,,Invoice 1-4,text,true,,2266,198,1,3,http://localhost:9090/invoice/getAll,9,0,0
1683455559208,10,Update Invoice Status,200,,Invoice 1-4,text,true,,709,624,1,4,http://localhost:9090/invoice/updateStatus,9,0,0
1683455559218,4,Get all by username,200,,Invoice 1-4,text,true,,693,228,1,4,http://localhost:9090/invoice/getAllByUsername?username=HD11300001,4,0,0
1683455559218,6,get list customer info,200,,customer 3-1,text,true,,2096,204,1,4,http://localhost:9090/getListCustomersInfo,6,0,0
1683455559222,5,get by status,200,,Invoice 1-4,text,true,,2266,217,1,4,http://localhost:9090/invoice/getByStatus?status=UNPAID,5,0,0
1683455559224,5,get customer info,200,,customer 3-1,text,true,,676,210,1,4,http://localhost:9090/getCustomerInfo/HD11300001,5,0,0
1683455559227,4,get by id,200,,Invoice 1-4,text,true,,691,223,1,3,http://localhost:9090/invoice/getById?id=1,4,0,0
1683455559299,6,Get All Invoice,200,,Invoice 1-5,text,true,,2266,198,1,6,http://localhost:9090/invoice/getAll,6,0,0
1683455559305,9,Update Invoice Status,200,,Invoice 1-5,text,true,,709,596,1,6,http://localhost:9090/invoice/updateStatus,9,0,0
1683455559314,4,Get all by username,200,,Invoice 1-5,text,true,,693,228,1,6,http://localhost:9090/invoice/getAllByUsername?username=HD11300001,4,0,0
1683455559318,3,get by status,200,,Invoice 1-5,text,true,,2266,217,1,6,http://localhost:9090/invoice/getByStatus?status=UNPAID,3,0,0
1683455559322,5,get by id,200,,Invoice 1-5,text,true,,691,223,1,6,http://localhost:9090/invoice/getById?id=1,5,0,0
1683455559244,133,create,200,,electricboard 4-1,text,true,,2543,6650,1,6,http://localhost:9090/board/create,133,0,0
1683455559377,5,update,400,,electricboard 4-1,text,false,,502,233,1,6,http://localhost:9090/board/update/1,5,0,0
1683455559383,5,get one by id,200,,electricboard 4-1,text,true,,732,218,1,7,http://localhost:9090/board/getOneById?electricBoardId=1,5,0,0
1683455559388,7,get all by username,200,,electricboard 4-1,text,true,,734,226,1,7,http://localhost:9090/board//getAllByUsername?username=HD11300001,7,0,0
1683455559400,7,Get All Invoice,200,,Invoice 1-6,text,true,,2266,198,1,7,http://localhost:9090/invoice/getAll,7,0,0
1683455559408,10,Update Invoice Status,200,,Invoice 1-6,text,true,,709,616,1,7,http://localhost:9090/invoice/updateStatus,10,0,0
1683455559418,4,Get all by username,200,,Invoice 1-6,text,true,,693,228,1,7,http://localhost:9090/invoice/getAllByUsername?username=HD11300001,4,0,0
1683455559422,6,get by status,200,,Invoice 1-6,text,true,,2266,217,1,7,http://localhost:9090/invoice/getByStatus?status=UNPAID,5,0,0
1683455559428,4,get by id,200,,Invoice 1-6,text,true,,691,223,1,7,http://localhost:9090/invoice/getById?id=1,4,0,0
1683455559500,7,Get All Invoice,200,,Invoice 1-7,text,true,,2266,198,1,9,http://localhost:9090/invoice/getAll,7,0,0
1683455559507,10,Update Invoice Status,200,,Invoice 1-7,text,true,,709,616,1,9,http://localhost:9090/invoice/updateStatus,10,0,0
1683455559517,6,Get all by username,200,,Invoice 1-7,text,true,,693,228,1,9,http://localhost:9090/invoice/getAllByUsername?username=HD11300001,5,0,0
1683455559523,5,get by status,200,,Invoice 1-7,text,true,,2266,217,1,9,http://localhost:9090/invoice/getByStatus?status=UNPAID,5,0,0
1683455559529,5,get by id,200,,Invoice 1-7,text,true,,691,223,1,9,http://localhost:9090/invoice/getById?id=1,5,0,0
1683455559066,856,signin,200,,Account 2-1,text,true,,730,644,9,21,http://localhost:9090/signin,855,0,0
1683455559599,328,Get All Invoice,200,,Invoice 1-8,text,true,,2266,198,4,21,http://localhost:9090/invoice/getAll,328,0,1
1683455559623,306,get staff info,200,,staff 6-1,text,true,,633,205,1,21,http://localhost:9090/getStaffInfo/ngochoai,306,0,0
1683455559166,805,signin,200,,Account 2-2,text,true,,730,620,10,21,http://localhost:9090/signin,805,0,1
1683455559267,908,signin,200,,Account 2-3,text,true,,730,616,12,27,http://localhost:9090/signin,908,0,0
1683455559699,482,Get All Invoice,200,,Invoice 1-9,text,true,,2266,198,6,27,http://localhost:9090/invoice/getAll,482,0,0
1683455559366,829,signin,200,,Account 2-4,text,true,,730,616,12,28,http://localhost:9090/signin,829,0,1
1683455559383,829,paypal,200,,payment 5-2,text,true,,453,216,10,29,http://localhost:9090/pay?id=1,829,0,1
1683455559800,418,Get All Invoice,200,,Invoice 1-10,text,true,,2266,198,7,29,http://localhost:9090/invoice/getAll,418,0,1
1683455559283,951,paypal,200,,payment 5-1,text,true,,453,216,10,30,http://localhost:9090/pay?id=1,951,0,1
1683455559483,801,paypal,200,,payment 5-3,text,true,,453,216,11,33,http://localhost:9090/pay?id=1,801,0,2
1683455559899,393,Get All Invoice,200,,Invoice 1-11,text,true,,2266,198,7,33,http://localhost:9090/invoice/getAll,393,0,1
1683455559466,937,signin,200,,Account 2-5,text,true,,730,624,14,37,http://localhost:9090/signin,937,0,1
1683455559927,481,Update Invoice Status,200,,Invoice 1-8,text,true,,709,592,9,37,http://localhost:9090/invoice/updateStatus,480,0,0
1683455559566,854,signin,200,,Account 2-6,text,true,,730,632,14,37,http://localhost:9090/signin,854,0,1
1683455559583,999,paypal,200,,payment 5-4,text,true,,453,216,13,41,http://localhost:9090/pay?id=1,999,0,1
1683455559666,1102,signin,200,,Account 2-7,text,true,,730,644,18,48,http://localhost:9090/signin,1102,0,1
1683455559999,775,Get All Invoice,200,,Invoice 1-12,text,true,,2266,198,12,48,http://localhost:9090/invoice/getAll,775,0,0
1683455559866,1168,signin,200,,Account 2-9,text,true,,730,632,20,56,http://localhost:9090/signin,1168,0,0
1683455559684,1387,paypal,200,,payment 5-5,text,true,,453,216,18,57,http://localhost:9090/pay?id=1,1386,0,0
1683455560098,977,Get All Invoice,200,,Invoice 1-13,text,true,,2266,198,15,57,http://localhost:9090/invoice/getAll,977,0,1
1683455559765,1366,signin,200,,Account 2-8,text,true,,730,624,21,59,http://localhost:9090/signin,1366,0,1
1683455559922,1256,user login,200,,Account 2-1,text,true,,743,614,22,60,http://localhost:9090/signin,1256,0,0
1683455560181,1003,Update Invoice Status,200,,Invoice 1-9,text,true,,709,632,16,61,http://localhost:9090/invoice/updateStatus,1003,0,0
1683455559966,1326,signin,200,,Account 2-10,text,true,,730,636,23,66,http://localhost:9090/signin,1326,0,1
1683455559971,1350,user login,200,,Account 2-2,text,true,,743,630,23,67,http://localhost:9090/signin,1350,0,0
1683455560199,1126,Get All Invoice,200,,Invoice 1-14,text,true,,2266,198,18,67,http://localhost:9090/invoice/getAll,1126,0,0
1683455560213,1117,cash,200,,payment 5-2,text,true,,494,220,21,67,http://localhost:9090/payWithCash?id=2,1117,0,0
1683455560218,1118,Update Invoice Status,200,,Invoice 1-10,text,true,,709,596,18,66,http://localhost:9090/invoice/updateStatus,1118,0,0
1683455560219,1122,get list customer info,200,,customer 3-2,text,true,,2096,204,2,66,http://localhost:9090/getListCustomersInfo,1122,0,0
1683455560234,1111,cash,200,,payment 5-1,text,true,,494,220,20,66,http://localhost:9090/payWithCash?id=2,1111,0,0
1683455559884,1505,paypal,200,,payment 5-7,text,true,,453,216,20,67,http://localhost:9090/pay?id=1,1505,0,0
