Label,# Samples,Average,Min,Max,Std. Dev.,Error %,Throughput,Received KB/sec,Sent KB/sec,Avg. Bytes
Get All Invoice,1000,55589,6,107403,30856.70,0.000%,4.82386,10.67,0.93,2266.0
Update Invoice Status,1000,72134,6,116495,28090.89,0.000%,3.61568,2.50,2.16,709.0
Get all by username,1000,61402,3,108599,21965.80,0.000%,3.15610,2.14,0.70,693.0
get by status,1000,38842,3,108824,28204.90,0.000%,3.14399,6.96,0.67,2266.0
get by id,1000,20130,3,112181,26746.51,0.000%,3.14393,2.12,0.68,691.0
get list customer info,100,55455,6,106876,30837.15,0.000%,.48573,0.99,0.10,2096.0
get customer info,100,72143,5,112062,27887.40,0.000%,.36978,0.24,0.08,676.0
create,100,55430,133,106933,30848.10,0.000%,.48560,1.21,3.16,2543.0
update,100,65461,3,100208,28777.47,100.000%,.37644,0.18,0.09,502.0
get one by id,100,61405,5,112068,22377.86,0.000%,.31837,0.23,0.07,732.0
get all by username,100,41260,5,105789,27527.78,0.000%,.31488,0.23,0.07,734.0
signin,1000,56415,805,108286,30790.82,0.000%,4.80340,3.42,2.93,730.0
get staff info,100,55970,306,107332,30817.28,0.000%,.48465,0.30,0.10,633.0
paypal,1000,56914,801,109643,30835.22,0.000%,4.78801,2.12,1.01,453.0
user login,1000,73043,1256,125636,27665.20,0.000%,3.63852,2.64,2.22,743.0
cash,1000,72440,1111,114420,27163.73,0.000%,3.68884,1.78,0.79,494.0
change password,1000,62634,3411,117234,21472.20,0.000%,3.16637,1.41,0.98,455.0
TOTAL,10700,57033,3,125636,31614.19,0.935%,33.63712,31.59,13.13,961.8
